ID,Title,Impact,Story Core group,Empathy score,Impact level,Narrative orientation
1,"What is the Hind Rajab Foundation, which is making Israeli soldiers fear arrest abroad?","1, 3",International legal pressure; Digital surveillance; War accountability; Foreign relations.,10,"1, 3",Bodies-oriented
4,"The Black Market for Dangerous Drugs: Bought from the HMO, Sold at a Massive Profit",1,Public health & addiction; Healthcare regulation; Organized crime; Socio- economic inequality.,9,1,Bodies-oriented
6,A Reservoir in Peril: Ongoing Pollution Crisis Threatens Israel’s Water Supply,"1, 2",Environmental risk; Infrastructure failure; Regulatory enforcement; Public health.,8,"1, 2",Collision zone
7,Revealed: The Mysterious Millionaire Funding the Gaza Resettlement Movement,1,Settlements & ideology; Political philanthropy; Post–Oct 7 policy; Civil society influence.,8,1,Collision zone
11,"Government Offices Hacked, Private Data Leaked—But Israeli Citizens Are Kept in the Dark",,Cybersecurity & data privacy; Government transparency vs secrecy; National security & civil rights; Governance & accountability.,7,,Collision zone
12,"The Lod Municipality vs. the Israeli Government: Negligence, Discrimination, and an Unlivable Reality",2,Public safety & violent crime; Policing & governance; Discrimination & inequality; Center–periphery / mixed cities.,9,2,Bodies-oriented
16,"Police Under Caution: Political Corruption Hasn’t Disappeared, but the Investigations Have",,Political corruption; Governance; Law- enforcement capacity; Democratic erosion.,7,,Collision zone
17,"European Double Standards: One Hand Slaps Sanctions on Israel, the Other Buys Advanced Weapons Systems",1,Arms trade & foreign policy; Human rights & international law; Political hypocrisy / double standards; Defense- industry economics.,8,1,Collision zone
18,Megadeals and a Huge Donation to Gaza Settlements: Questions Asked Over 100-Year-Old Multimillionaire’s Financial Dealings,1,"Financial governance, elder protection, political funding, asset transfer oversight",9,1,Bodies-oriented
21,Palestinian laborers are once again entering Israel illegally: This is how they hide,1,Labor + migration; Security policy; Socioeconomic hardship; Governance inconsistency,12,1,Bodies-oriented
22,Hostages and their Families: Is the Government Doing Enough?,,Trauma & rehabilitation; Social services; Bureaucracy; War-impact on civilians.,12,,Bodies-oriented
23,"How ‘Habithonistim’ Took Over Israeli Screens, Eerily Echoing Netanyahu’s Messaging",1,Political influence; Security discourse; Democratic norms; Media power,9,1,Bodies-oriented
28,Silent Scars: The Enduring Impact of Violence in Haredi Education,1,Education; Child welfare; Institutional neglect; Cultural norms,12,1,Bodies-oriented
37,Follow the Money: Qatar’s Hidden Hand in U.S. Education,1,Foreign influence; Education systems; Soft power; Political ideology,8,1,Collision zone
38,Qatargate: Contract Reveals that Qatari Approval Prerequisite for Nentanyahu's Spokesperson Hiring,1,Foreign lobbying & influence; Government ethics / conflicts of interest; Transparency & accountability,6,1,Collision zone
41,The Digital Offensive on IDF Soldiers: 350GB of Footage Submitted to The Hague,1,Digital surveillance & exposure; International legal pressure; Privacy & personal security; Social-media governance,7,1,Collision zone
47,How Sexual Abuse Is Covered Up in Ultra-Orthodox Communities,1,Sexual and gender-based violence; Institutional cover-up; Child protection & education; Community power & accountability,11,1,Bodies-oriented
50,Qatar Hires Pardoned Trump Ally as New U.S Lobbyist,1,Foreign lobbying & soft power; Political ethics; Media influence; U.S.–Qatar– Israel relations,6,1,Collision zone
51,Paving the Way to Annexation: Israel Quietly Builds New Roads in the West Bank,,Settlements & annexation infrastructure; Land control & planning; Security vs. civil rights; Center–periphery / inequality.,8,,Collision zone
54,"The Transparent Victims of the War: Rise in Soldier Suicides, Mostly Reservists",1,Mental health & PTSD; Suicide prevention & military policy; Veterans’ rights and rehabilitation; Social stigma & public discourse.,12,1,Bodies-oriented
58,The Secretly Established Mechanism for Funding and Operating the Humanitarian Program in Gaza,1,Humanitarian aid governance; Private security & outsourcing; Financial opacity / secrecy jurisdictions; Foreign policy & conflict-zone management.,6,1,Collision zone
60,Majdal Shams Disaster Victims’ Families: Israel Has Forgotten Us,1,Victims of hostile activity & rehabilitation; Bureaucratic access & language barriers; Minority rights & periphery services; Child trauma & mental health.,12,1,Bodies-oriented
62,Chabad Picks a Side: The Ben-Gvir Alliance,1,Religion & politics; Political influence; Movement–party alliances; Messianism & ideology.,7,1,Collision zone
63,"Eighteen Months Into the War, Crypto Funds Continue to Flow to Hamas",1,Terror finance; Crypto laundering; Sanctions enforcement; Digital security.,8,1,Collision zone
64,Revealed: New Details Emerge About the U.S. Security Firm Tasked With Overseeing Gaza Aid Distribution,1,Humanitarian aid logistics; Private contracting; Intelligence operations; Transparency & oversight.,8,1,Collision zone
65,Report: US security firm overseeing Gaza aid also conducting intelligence operations,1,Humanitarian aid; Intelligence; Transparency issues; International governance.,8,1,Collision zone
70,The Other Battlefield: Surge in Opioid Use Among Wounded Gaza Soldiers,1,Opioid dependence; Rehabilitation systems; Public health; Military medicine oversight.,11,1,Bodies-oriented
72,Nowhere to Run: LGBTQ Palestinians Struggle to Survive and Israel Closes the Door,1,Asylum policy; LGBTQ rights; Protection gaps; Displacement & precarity; Social welfare.,12,1,Bodies-oriented
73,"Losing Faith, Seeking Power: Arab Society Prepares for the Next Election",,Electoral participation; Minority representation; Democratic norms; Political strategy; Social polarization.,7,,Collision zone
76,A Semi-Buried Minibus or Sewage Pipes: Dozens of Israeli Bedouin Have No Access to Bomb Shelters,,Civil protection; Housing policy; Center– periphery inequality; Emergency preparedness.,10,,Bodies-oriented
79,"With Shipments Stuck Overseas, Israel’s Life-Saving Biotech Industry Could Lose Millions",2,"Health system capacity, economic risk, research disruption, war-related impact.",9,2,Bodies-oriented
80,Do Not Forsake Me: The Elderly Left Behind in Wartime,,"Civil defense, elder care, accessibility, wartime inequality.",10,,Bodies-oriented
87,The Man Behind Security for the Gaza Humanitarian Aid Project,1,"Conflict governance, privatized security, accountability, transparency.",4,1,Systems-oriented
88,Crashing in the Periphery: Overflowing Hospital Wards with One Resident Who’s Half-Babysitter,1,"Health system capacity, workforce policy, regional inequality, professional training.",12,1,Bodies-oriented
90,"The Gaza Effect: Anti-Israel, Pro-Palestinian Organizations Raise Millions of Dollars In Donations",,Foreign influence; Civil society; Political activism; Funding ecosystems.,3,,Systems-oriented
99,"Funding Crisis Forces Kohelet to Cut Salaries, Research, and Support for Other Groups",,Political philanthropy; Think-tank funding; Civil society influence; Transparency & oversight.,7,,Collision zone
101,How Women are Smuggled to Israel for Prostitution,1,Human trafficking; Gender-based violence; Migration & borders; Law enforcement & victim protection.,11,1,Bodies-oriented
105,"Despite Change in Israeli Aid Policy, Doctors in Gaza Say Humanitarian Situation Still ‘Catastrophic’",,War & humanitarian crisis; Healthcare access; International aid logistics; Civilian protection.,12,,Bodies-oriented
109,Dockworkers across Europe Work Together to Halt Israeli Arms Shipments,1,Arms trade & embargoes; Labor action; International supply chains; Israel–world relations.,10,1,Bodies-oriented
110,Exposé: The Palestinian Tycoon Being Touted as Gaza’s Post-War Governor,1,Post-war governance; International diplomacy; Regional coordination; Political leadership selection.,6,1,Collision zone
111,Exclusive: International Rights Groups Readying Legal Cases Against the Gaza Humanitarian Foundation,,Humanitarian governance; International legal accountability; Private-contractor liability; War-related investigations.,8,,Collision zone
113,Exclusive: UN Publishes Tender for Tens of Thousands of Prefabricated Temporary Units for Gaza,,Post-war reconstruction; Humanitarian shelter provision; International procurement; Displacement response.,5,,Collision zone
114,The Disappearance of Israel’s National Security Council,1,Governance capacity; National-security decision processes; Institutional dysfunction; Strategic-planning failures.,7,1,Collision zone
119,"Crisis in Israel’s Social Services: Overloaded, Understaffed, and Burning Out",,"Welfare system capacity, workforce burnout, privatization policy, regional inequality, justice-system delay.",11,,Bodies-oriented
128,We Feel Like the Ministers Are Working Against Us',,"Public-sector capacity, politicization and corruption risk, governance erosion, service-delivery failure.",10,,Bodies-oriented
129,When Secularism Became Taboo,,"Political representation, religion-state relations, identity politics, electoral strategy.",6,,Collision zone
132,Another Incoming Flotilla: Israel Seeks to Confiscate Vessels Without Paying a Fortune,,"Blockade enforcement, maritime law and procedure, protest policing, humanitarian-access conflict.",6,,Collision zone
137,Chained to a Bed for Three Days: The Neglect of Mentally Ill Prisoners,,"Prison healthcare inequality, mental health neglect, custodial conditions, gender discrimination in public services, inter-agency responsibility gaps.",11,,Bodies-oriented
142,How Ben-Gvir Derailed Israel’s Flagship Program Combating Violence in the Arab-Sector,,"Community safety policy, violent crime prevention, budget and staffing cuts, Arab-sector governance, inter- ministerial coordination.",12,,Bodies-oriented
143,Unlicensed Physicians: How Profit Became the Bottom Line for Healthcare in East Jerusalem – At Patients’ Expense,1,"Healthcare privatization, licensing and supervision failures, health inequality, child development and diagnostics, contractor oversight.",12,1,Bodies-oriented
145,Bury October 7 and Blame the Kaplan Protestors: How the Israeli Right Plans to Win the Next Election,,"Electoral strategy, narrative framing and accountability, civil-military burden sharing, religion-and-state politics, institutional legitimacy.",6,,Collision zone
147,Ministry of National Security Withheld Funding – and a Drug Harm Reduction Program Could Be Closed,3,"Harm-reduction and addiction services, welfare–health coordination, budget allocation and ministerial responsibility, urban marginalization",8,3,Collision zone
151,After the Budget Axe: What Funding Cuts Mean for Israel’s Yeshivas,1,"Public funding, religious education, socioeconomic burden, institutional resilience",7,1,Collision zone
153,"Unmasking the ‘Coin Laundry’: The Global Crypto-Laundering Network Linking Hamas, Iran and Drug Cartels",1,"Financial crime, terrorism financing, regulatory oversight, cyber-crime infrastructure",6,1,Collision zone
155,How Netanyahu’s Government Is Rewriting the Memory of October 7,1,"Memory politics, state authority, public commemoration, legislative governance",9,1,Bodies-oriented
159,A Multimillion-dollar Tax Bonanza: How Hamas Took Back Economic Control of the Gaza Strip,1,"Taxation, black-market economy, post- war governance, aid diversion",7,1,Collision zone
160,Pillaging the Five-Year Plan: Ministers Seek to Divert Funding from Arab Society to the Police and Shin Bet,,"Budget diversion, discrimination, public policy, socioeconomic inequality",7,,Collision zone
163,Israel’s Ultra-Orthodox Street Is Fuming as Leaders Stoke a Victimhood Narrative,,"Conscription policy, political messaging, electoral strategy",11,,Bodies-oriented
164,Most Advertisements Firms Didn’t Agree to Run Israeli Campaigns in Times Square,1,"Public diplomacy, international relations, political advertising",8,1,Collision zone
165,Ministry of National Security Withheld Funding – and a Drug Harm Reduction Program Could Be Closed,3,"Public-health funding failure, welfare- service disruption",10,3,Bodies-oriented
167,Mai Golan and Ben-Gvir’s Power Grab: $60 Million Cut From Arab Community Programs,,"Budget diversion, governance failure, policy manipulation, public-service disruption",6,,Collision zone
169,Have the Haredim Embraced Zionism? “They Haven’t Suddenly Become Zionists - They’re Here for the Money and the Jobs”,,"Institutional capture, political appointments, ideological tension, public funding",5,,Collision zone
173,Haredi Leadership to Dropout Yeshivas: You Must Meet the IDF Quota,,"Conscription policy, funding allocation, community power dynamics, inequality between institutions",10,,Bodies-oriented
174,“If You Come Back - We’ll Kill You”: Settler Violence Crosses Over Into Palestinian-Controlled Parts of the West Bank,,Settler violence; Land seizure; Law- enforcement failure; Occupation governance.,9,,Bodies-oriented
34,A 30-Year-Old Single Man? Not in Our Community': Religious Village Rejects Applicant Over Suspected Sexual Orientation,,"Legal enforcement, Housing discrimination",9,,Bodies-oriented
46,Not only cholera: carcinogenic substances found in one of Israel’s two strategic water reservoirs,"1, 2","Water safety oversight, Environmental regulation enforcement failure",9,"1, 2",Bodies-oriented
89,Exposed: Dangerous Levels of Toxic Chemicals Found in Drinking Water Nationwide,"1, 3","Public health, Environmental regulation",7,"1, 3",Collision zone
94,Getting Married Was the Worst Decision of My Life’: Arab Society is Worried by the Rising Divorce Rate,,"Institutional pressure, Welfare change, Family policy",9,,Bodies-oriented
66,"The Abandoned Bedouin Village: 'Settlers Came, Cursed Us, and Terrorized the Children'",,"Settler violence, Forced displacement, Land control, State inaction",11,,Bodies-oriented
103,"Education Ministry to Fund Channel 14 Conference: $70,000 for Promoting 'Jewish Identity'","2, 1","Media influence, Ideological funding, Education policy",4,"2, 1",Systems-oriented
116,"Ecstasy at Parties for 14-Year-Olds, Cocaine Lines on School Trips",1,"Garbage city, Youth addiction, Enforcement failure, Drug policy",12,1,Bodies-oriented
118,"Shaming, Abuse, and Burnout: More Teachers Quit, Fewer Join, and Quality Plummets",1,"Public services system, Government oversight, Labor conditions",11,1,Bodies-oriented
125,A Fast Track for PTSD Victims? Patients Are Still Waiting,,"Healthcare access, Disability recognition, Veteran welfare, Bureaucratic delay",11,,Bodies-oriented
82,State of Emergency? The Judicial Overhaul Push Marches On Under Cover of War,,"Government oversight, Civil rights abuse, Judicial power",6,,Collision zone
148,The Real Judicial Overhaul: How Yariv Levin Reshaped Israel’s Legal System,1,"Institutional capture, Judicial appointment, Ideological realignment",3,1,Systems-oriented
170,I Want to Erase the Nova Party From My Life': The Final Recordings of Shiral Golan,1,"Mental health system failure, Suicide prevention, Institutional accountability",12,1,Bodies-oriented
